ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
2217	MDC1-MRN-ATM-FANCD2 complex	Human	None	None	O60934;P49959;Q13315;Q14676;Q92878;Q9BXW9	4683;4361;472;9656;10111;2177	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0000075;GO:0003677;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.03.01.03;16.03.01;32.01.09;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	NBS, NBS1, P95;HNGS1, MRE11;None;KIAA0170 NFBD1;None;FACD	Prior exposure of cells to irradiation appears to reduce the interaction of MDC1 with ATM and FANCD2.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	NBN;MRE11A;ATM;MDC1;RAD50;FANCD2	12607005	Nibrin;Double-strand break repair protein MRE11A;Serine-protein kinase ATM;Mediator of DNA damage checkpoint protein 1 ;DNA repair protein RAD50;Fanconi anemia group D2 protein
2218	MDC1-MRE11-RAD50-NBS1 complex	Human	None	None	O60934;P49959;Q14676;Q92878	4683;4361;9656;10111	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.03.01.03;32.01.09;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	NBS, NBS1, P95;HNGS1, MRE11;KIAA0170 NFBD1;None	In response to ionizing radiation, MDC1 is hyperphosphorylated and rapidly relocalizes to nuclear foci that also contain the MRE11 complex. MDC1-mediated focus formation by the MRE11 complex at sites of DNA damage is crucial for the efficient activation of the intra-S-phase checkpoint.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	NBN;MRE11A;MDC1;RAD50	12607003	Nibrin;Double-strand break repair protein MRE11A;Mediator of DNA damage checkpoint protein 1 ;DNA repair protein RAD50
2219	TERF1 homodimer complex	Human	None	None	P54274	7013	MI:0413- electrophoretic mobility shift assay	GO:0000278;GO:0051726;GO:0003677;GO:0051276	mitotic cell cycle;regulation of cell cycle;DNA binding;chromosome organization	10.03.01.01;10.03.01;16.03.01;42.10.03	mitotic cell cycle;mitotic cell cycle and cell cycle control;DNA binding;organization of chromosome structure	PIN2, TRBF1, TRF, TRF1	TERF1 is shown to be important in regulating telomere length. It may connect mitotic control to the telomere regulatory machinery.	None	Homo sapiens (Human)	None	TERF1	9391075	Telomeric repeat-binding factor 1
2220	RAD52-ERCC4-ERCC1 complex	Human	None	None	P07992;P43351;Q92889	2067;5893;2072	MI:0004- affinity chromatography technologies; MI:0006- anti bait coimmunoprecipitation	GO:0006308;GO:0006310;GO:0006281;GO:0005634	DNA catabolic process;DNA recombination;DNA repair;nucleus	01.03.16.03;10.01.05.03;10.01.05.01;70.10	DNA degradation;DNA recombination;DNA repair;nucleus	None;;ERCC11 XPF	Rad52-XPF-ERCC1 complex processes recombination intermediates generated during the repair of DNA double strand breaks.	ERCC4 is involved in xeroderma pigmentosum group F.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ERCC1;RAD52;ERCC4	14734547	DNA excision repair protein ERCC-1;DNA repair protein RAD52 homolog;DNA repair endonuclease XPF
2221	RPA-MSH4-BLM complex	Mouse	None	None	O88700;Q62193;Q8VEE4;Q99MT2;Q9CQ71	12144;19891;68275;55993;68240	MI:0416- fluorescence microscopy; MI:0040- electron microscopy	GO:0000279;GO:0007067;GO:0051276;GO:0005634	M phase;mitotic nuclear division;chromosome organization;nucleus	10.03.01.01.11;42.10.03;70.10	M phase;organization of chromosome structure;nucleus	;Rpa34;;;	RPA stimulates helicase activity of BLM.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Blm;Rpa2;Rpa1;Msh4;Rpa3	11950880	Bloom syndrome protein homolog ;Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit ;MutS protein homolog 4 ;Replication protein A 14 kDa subunit
2223	BLM-TOP3A complex	Human	None	None	P54132;Q13472	641;7156	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0005634	chromosome organization;nucleus	42.10.03;70.10	organization of chromosome structure;nucleus	RECQ2 RECQL3;TOP3	None	BLM is involved in Bloom syndrome (BS).	Homo sapiens (Human);Homo sapiens (Human)	None	BLM;TOP3A	10734115	Bloom syndrome protein;DNA topoisomerase 3-alpha
2224	MSH2/6-BLM-p53-RAD51 complex	Human	None	None	P04637;P43246;P52701;P54132;Q06609	7157;4436;2956;641;5888	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05.01;32.01.09;70.10	DNA repair;DNA damage response;nucleus	P53;None;GTBP;RECQ2 RECQL3;RAD51A, RECA	MSH2/6 protein complex stimulates the ability of the Bloom's syndrome gene product, BLM, to process Holliday junctions in vitro, an activity that could also be regulated by p53. MSH6 colocalizes with BLM and p53 in hydroxyurea-induced RAD51 nuclear foci.	BLM is involved in Bloom's syndrome.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	TP53;MSH2;MSH6;BLM;RAD51	15064730	Cellular tumor antigen p53;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Bloom syndrome protein;DNA repair protein RAD51 homolog 1
2225	MutS-alpha-histone H4 complex	Mouse	None	B-cell	P43247;P54276;P62806	17685;17688;None	MI:0402-chromatin immunoprecipitation assays	GO:0006312;GO:0030183	mitotic recombination;B cell differentiation	10.01.05.03.03;43.03.07.02.01.01	somatic / mitotic recombination;B-cell	None;Gtmbp;; H4-53; H4-12; ; ; ; ; ; ; ; Hist2h4;	MSH2 associates with transcribed S regions in primary murine B cells activated for switch recombination. Electron microscopic imaging reveals that MutSalpha binds in vitro to DNA structures formed within transcribed S regions and mediates their synapsis.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Msh2;Msh6;Hist1h4a;	15753043	DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Histone H4
2226	MutS-alpha-PK-zeta complex	Human	None	None	P43246;P52701;Q05513	4436;2956;5590	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0043161;GO:0006511	DNA repair;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	10.01.05.01;14.13.01.01	DNA repair;proteasomal degradation (ubiquitin/proteasomal pathway)	None;GTBP;PKC2	PKC zeta protects MutS-alpha protein complex from degradation. PKC zeta interacts with hMSH2 and hMSH6 proteins and phosphorylates both.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MSH2;MSH6;PRKCZ	15808853	DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Protein kinase C zeta type
2228	BLM-RAD51L3-XRCC2 complex	Human	None	None	O43543;O75771;P54132	7516;5892;641	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05.01;70.10	DNA repair;nucleus	;RAD51L3;RECQ2 RECQL3	Interaction between BLM and RAD51L3 is mediated through the N-terminal domain of BLM. RAD51L3-XRCC2 complex stimulates ability of BLM to disrupt Holliday junction structures.	BLM is involved in Bloom's syndrome (BS).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	XRCC2;RAD51D;BLM	12975363	DNA repair protein XRCC2 ;DNA repair protein RAD51 homolog 4 ;Bloom syndrome protein
2230	PCNA complex	Rabbit	None	None	G1SFK3;G1SKZ3;G1SUQ9;G1T3E1;G1TAS0;G1TGK9;P38936	None;100339381;100349705;None;None;None;1026	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0006260;GO:0007049;GO:0005634	DNA replication;cell cycle;nucleus	10.01.03;10.03;70.10	DNA synthesis and replication;cell cycle;nucleus	None;None;None;None;None;None;CAP20, CDKN1, CIP1, MDA6, PIC1, SDI1, WAF1	None	None	Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit);Oryctolagus cuniculus (Rabbit);Homo sapiens (Human)	None	RPA1;PCNA;TOP1;CDK4;CDKN1A;DHX9;CDKN1A	11254741	Replication protein A subunit;Proliferating cell nuclear antigen;DNA topoisomerase I;Cyclin dependent kinase 4;Cyclin dependent kinase inhibitor 1A;DExH-box helicase 9;Cyclin-dependent kinase inhibitor 1
2231	PCNA homotrimer complex	Human	None	None	P12004	5111	MI:0071- molecular sieving; MI:0029- cosedimentation through density gradients; MI:0006- anti bait coimmunoprecipitation	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	None	PCNA exists mainly as homotrimer whose expression increases in the late G1- to S-phase of cell cycle.	PCNA is a target for autoimmunity in systemic lupus erythematosus.	Homo sapiens (Human)	None	PCNA	7522248	Proliferating cell nuclear antigen
2233	Replication-coupled CAF-1-MBD1-ETDB1 complex	Human	None	None	Q13111;Q15047;Q9UIS9	10036;9869;4152	MI:0006- anti bait coimmunoprecipitation; MI:0018- two hybrid	GO:0006260;GO:0006265;GO:0006349;GO:0000084;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA replication;DNA topological change;regulation of gene expression by genetic imprinting;mitotic S phase;protein hydroxylation;protein methylation;chromosome organization;nucleus	10.01.03;10.01.09.05;10.01.09.07;10.03.01.01.05;14.07.09;42.10.03;70.10	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;S phase of mitotic cell cycle;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus	CAF CAF1P150;KIAA0067 KMT1E;CXXC3 PCM1	Formation of CAF-1-MBD1-SETDB1 complex occurs during S phase of cell cycle. This complex facilitates methylation of H3-K9 during replication-coupled chromatin assembly.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CHAF1A;SETDB1;MBD1	15327775	Chromatin assembly factor 1 subunit A ;Histone-lysine N-methyltransferase SETDB1;Methyl-CpG-binding domain protein 1
2235	ASF1-interacting protein complex	Human	None	None	P54198;P68431;Q13111;Q13112;Q9NVP2;Q9Y294	7290;None;10036;8208;55723;25842	MI:0019- coimmunoprecipitation	GO:0006260;GO:0006265;GO:0051276	DNA replication;DNA topological change;chromosome organization	10.01.03;10.01.09.05;42.10.03	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);organization of chromosome structure	DGCR1 HIR TUPLE1;H3FA; H3FL; H3FC; H3FB; H3FD; H3FI; H3FH; H3FK; H3FF; H3FJ;CAF CAF1P150;CAF1A CAF1P60 MPHOSPH7 MPP7;;None	Asf1 provides the cells with a buffering system for histone excess generated in response to stalled replication and explains how mammalian cells maintain a critical "active" histone pool available for deposition during recovery from replication stresses.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HIRA;HIST1H3A;;CHAF1A;CHAF1B;ASF1B;ASF1A	15664198	Protein HIRA;Histone H3.1;Chromatin assembly factor 1 subunit A ;Chromatin assembly factor 1 subunit B ;Histone chaperone ASF1B ;Histone chaperone ASF1A
2236	ASF1-histone containing complex	Human	None	None	O96017;P49321;P50502;P68431;Q13112;Q9NVP2;Q9Y294	11200;4678;6767;None;8208;55723;25842	MI:0071- molecular sieving	GO:0006260;GO:0006265;GO:0051276	DNA replication;DNA topological change;chromosome organization	10.01.03;10.01.09.05;42.10.03	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);organization of chromosome structure	CDS1 CHK2 RAD53;;AAG2 FAM10A1 HIP SNC6;H3FA; H3FL; H3FC; H3FB; H3FD; H3FI; H3FH; H3FK; H3FF; H3FJ;CAF1A CAF1P60 MPHOSPH7 MPP7;;None	Asf1 provides the cells with a buffering system for histone excess generated in response to stalled replication and explains how mammalian cells maintain a critical "active" histone pool available for deposition during recovery from replication stresses.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CHEK2;NASP;ST13;HIST1H3A;;CHAF1B;ASF1B;ASF1A	15664198	Serine/threonine-protein kinase Chk2 ;Nuclear autoantigenic sperm protein ;Hsc70-interacting protein ;Histone H3.1;Chromatin assembly factor 1 subunit B ;Histone chaperone ASF1B ;Histone chaperone ASF1A
2237	SP1-MCAF2 complex	Human	None	None	P08047;Q5U623	6667;80063	MI:0019- coimmunoprecipitation	GO:0006265;GO:0006349;GO:0045892;GO:0032774;GO:0051276;GO:0005634	DNA topological change;regulation of gene expression by genetic imprinting;negative regulation of transcription, DNA-templated;RNA biosynthetic process;chromosome organization;nucleus	10.01.09.05;10.01.09.07;11.02.03.04.03;11.02;42.10.03;70.10	DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;transcription repression;RNA synthesis;organization of chromosome structure;nucleus	TSFP1;MCAF2	MCAF2 also binds to SETDB1, but more efficiently to SP1.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SP1;ATF7IP2	15691849	Transcription factor Sp1;Activating transcription factor 7-interacting protein 2
2238	MBD1-MCAF1-SETDB1 complex	Human	None	None	Q15047;Q6VMQ6;Q9UIS9	9869;55729;4152	MI:0019- coimmunoprecipitation	GO:0006265;GO:0006349;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA topological change;regulation of gene expression by genetic imprinting;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus	10.01.09.05;10.01.09.07;11.02.03.04.03;11.02;14.07.09;42.10.03;70.10	DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus	KIAA0067 KMT1E;MCAF MCAF1;CXXC3 PCM1	MCAF1 enhances transcriptional repression by MBD1 together with SETDB1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SETDB1;ATF7IP;MBD1	15691849	Histone-lysine N-methyltransferase SETDB1;Activating transcription factor 7-interacting protein 1 ;Methyl-CpG-binding domain protein 1
2247	Dynactin complex (DCTN1, DCTN2, DCTN3, DCTN4, DCTN6, CAPZA1, CAPZB, ACTR1A)	Bovine	None	brain	A4FUA8;E1BBI8;F1MIC9;P79136;Q0P5A1;Q148G7;Q3MHY9;Q3ZCF0	534656;613489;None;338052;514327;513751;None;527201	MI:0004-affinity chromatography technologies;MI:0029-cosedimentation through density gradients	GO:0030705	cytoskeleton-dependent intracellular transport	20.09.14	cytoskeleton-dependent transport	None;None;None;None;None;None;None;None	None	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None	CAPZA1;DCTN4;DCTN1;CAPZB;DCTN3;DCTN6;ACTR1A;DCTN2	10074429	F-actin-capping protein subunit alpha-1;Uncharacterized protein;Dynactin subunit 1;F-actin-capping protein subunit beta;Dynactin subunit 3;Dynactin subunit 6;ACTR1A protein;Dynactin subunit 2
2254	CTGF/Hcs24-actin(beta/gamma) complex	Human	None	HCS-2/8 cells	P29279;P60709;P63261	1490;60;71	MI:0019-coimmunoprecipitation;MI:0004-affinity chromatography technologies	GO:0030037;GO:0030036;GO:0051216;GO:0005737	actin filament reorganization involved in cell cycle;actin cytoskeleton organization;cartilage development;cytoplasm	10.03.05.03;42.04.03;45.03.05.05;70.03	cell cycle dependent actin filament reorganization;actin cytoskeleton;cartilage;cytoplasm	CCN2 HCS24 IGFBP8;None;ACTG	The authors suggest that binding of CTGF/Hcs24 to actin in chondrocytes may play some important roles in the regulation of cytoskeletal organization and of the cell cycle.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CTGF;ACTB;ACTG1	12470643	Connective tissue growth factor;Actin, cytoplasmic 1;Actin, cytoplasmic 2
2255	Cofilin-actin-CAP1 complex	Human	None	None	P23528;P60709;Q01518	1072;60;10487	MI:0096- pull down	GO:0006928;GO:0030036;GO:0015629	movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton	34.05;42.04.03;70.04.03	cell motility;actin cytoskeleton;actin cytoskeleton	CFL;None;CAP	As well as full-length CAP1, both CAP1-NT and CAP1-CT enhanced cofilin-induced acceleration of F-actin turnover, whereas their effect was only marginally visible in the absence of cofilin. Localization experiments in fibroblasts demonstrated that CAP1-NT is primarily responsible for accumulating CAP1 with cofilin and actin in dynamic peripheral regions of spreading cells.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CFL1;ACTB;CAP1	11950878	Cofilin-1 ;Actin, cytoplasmic 1;Adenylyl cyclase-associated protein 1
2256	RIAM-Rap1-GTP complex	Human	None	None	P62834;Q7Z5R6	5906;54518	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0007155;GO:0030036;GO:0005886	cell adhesion;actin cytoskeleton organization;plasma membrane	34.07;42.04.03;70.02	cell adhesion;actin cytoskeleton;eukaryotic plasma membrane / membrane attached	KREV1;PREL1 RARP1 RIAM	RIAM preferentially interacted with Rap1-GTP compared to Ras-GTP. The results indicate that RIAM is required for localization of Rap1-GTP at the plasma membrane.	None	Homo sapiens (Human);Homo sapiens (Human)	None	RAP1A;APBB1IP	15469846	Ras-related protein Rap-1A;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
2258	VILIP-1-AChR-alpha-4-AChR-beta-2 complex	Human	None	None	P17787;P43681;P62760	1141;1137;7447	MI:0096-pull down	GO:0005509;GO:0007268;GO:0051592;GO:1903048	calcium ion binding;synaptic transmission;response to calcium ion;regulation of acetylcholine-gated cation channel activity	16.17.01;34.03.01	calcium binding;synaptic transmission	None;NACRA4;VISL1	The results suggest a rule for VILIP-1 as an AChR-associated protein that modulates the surface expression levels and functional properties of alpha 4beta 2 AChRs in response to changes in the intracellular levels of calcium.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CHRNB2;CHRNA4;VSNL1	12202488	Neuronal acetylcholine receptor subunit beta-2;Neuronal acetylcholine receptor subunit alpha-4;Visinin-like protein 1
